class,0,1,2,3,4,5,6,7
5,46.0,319.0,73.0,60.0,113.0,119.0,49.0,75.0
5,20.0,326.0,34.0,30.0,44.0,58.0,24.0,51.0
5,48.0,246.0,27.0,53.0,56.0,80.0,59.0,52.0
5,78.0,324.0,54.0,100.0,99.0,141.0,93.0,80.0
5,66.0,240.0,71.0,100.0,120.0,174.0,73.0,98.0
5,40.0,326.0,63.0,69.0,88.0,128.0,51.0,109.0
5,34.0,256.0,68.0,68.0,99.0,118.0,52.0,132.0
5,45.0,232.0,54.0,59.0,75.0,107.0,61.0,104.0
5,69.0,257.0,69.0,72.0,84.0,132.0,92.0,127.0
5,97.0,325.0,48.0,116.0,105.0,159.0,133.0,76.0
5,55.0,206.0,69.0,94.0,126.0,165.0,67.0,114.0
5,32.0,315.0,48.0,31.0,103.0,82.0,35.0,83.0
5,34.0,192.0,45.0,45.0,80.0,82.0,53.0,131.0
5,67.0,231.0,53.0,81.0,94.0,129.0,82.0,132.0
5,40.0,270.0,81.0,45.0,102.0,117.0,44.0,142.0
5,105.0,191.0,67.0,116.0,128.0,188.0,101.0,93.0
5,71.0,270.0,82.0,76.0,124.0,161.0,63.0,154.0
5,59.0,332.0,82.0,69.0,94.0,129.0,63.0,114.0
5,39.0,371.0,73.0,59.0,159.0,120.0,61.0,119.0
5,42.0,277.0,43.0,60.0,82.0,101.0,55.0,69.0
5,70.0,349.0,69.0,92.0,114.0,148.0,72.0,172.0
5,57.0,260.0,55.0,91.0,133.0,136.0,70.0,169.0
5,47.0,315.0,95.0,60.0,131.0,142.0,53.0,147.0
5,19.0,348.0,34.0,33.0,84.0,58.0,22.0,81.0
5,86.0,303.0,81.0,110.0,198.0,180.0,106.0,156.0
5,40.0,326.0,63.0,69.0,88.0,128.0,51.0,109.0
